,주소,위도,경도,확인
154,경기도 시흥시 배곧1로 27-15 한라1차아파트 104동 104호,37.3653496,126.7125162,ok
155,경기도 시흥시 배곧1로 27-15 한라1차아파트 105동 104호,37.3653496,126.7125162,ok
156,경기도 시흥시 배곧1로 27-15 한라비발디1차 110동 101호,37.3653496,126.7125162,ok
157,경기도 시흥시 배곧4로 106-25 호반베르디움 1105동 102호,37.36996402,126.7322117,ok
158,경기도 시흥시 배곧4로 106-25 호반베르디움 1113동 102호,37.36996402,126.7322117,ok
159,경기도 시흥시 서울대학로 100 이지더원2차 에듀그린 212동 104호,37.35971348,126.7142095,ok
160,경기도 시흥시 배곧4로 106-26 1010동 101호(배곧한신더휴),37.37054425,126.7311632,ok
161,경기도 시흥시 배곧3로 27-7 708동 104호(배곧호반SK뷰),37.37535141,126.7230541,ok
162,경기도 시흥시 배곧1로 27-16 204동 101호(배곧한라비발디캠퍼스2차),37.36134839,126.7143632,ok
163,경기도 시흥시 배미골길 23 1505동 104호,37.38469586,126.8618446,ok
164,경기도 시흥시 서울대학로 328 호반베르디움더프라임 2차 912동 103호,37.37409727,126.7297871,ok
165,경기도 시흥시 목감남서로 92-15 101동 101호(중흥S클래스),37.37352046,126.8421843,ok
166,경기도 시흥시 해송십리로 472-11 관리동 어린이집,37.38389809,126.7305188,ok
167,경기도 시흥시 은계남로 11 904동 106호(은계한양수자인아파트),37.43437127,126.8017354,ok
168,경기도 시흥시 배곧4로 106-26 배곧한신더휴 1003-103,37.37054425,126.7311632,ok
169,"경기도 시흥시 배곧4로 81-29 505-104(정왕동,센텀베이2차)",37.37606158,126.7356457,ok
170,경기도 시흥시 해송십리로 472-11 배곧중흥s클래스 103-102,37.38389809,126.7305188,ok
171,"경기도 시흥시 목감둘레로 80 601동 101호(목감동, 호반베르디움더숲아파트)",37.37195236,126.847789,ok
172,"경기도 시흥시 목감남서로 35 501동 104호 (조남동,시흥목감 한신더휴센트럴파크아파트)",37.37403903,126.8489745,ok
173,경기도 시흥시 은계중앙로 115 관리동어린이집,37.44018132,126.8028378,ok
174,경기도 시흥시 배곧4로 106-25 관리동,37.36996402,126.7322117,ok
175,"경기도 시흥시 시청로 100 2601동 103호(장현동, 네이처뷰아파트)",37.38276012,126.7983824,ok
176,경기도 시흥시 인선길 14 ,37.37748184,126.7880785,ok
