,정보공시 학교코드,학교명,1학년 학생수,학교도로명 주소,위도,경도
152,S010001052,서울월정초등학교,151,서울특별시 강서구 월정로 176,37.534313,126.836186
153,S010001053,서울월촌초등학교,151,서울특별시 양천구 목동중앙로 132,37.5406954304,126.8762580281
154,S010001054,서울은정초등학교,50,서울특별시 양천구 목동남로 85,37.5111289634,126.8670457082
155,S010001055,서울정곡초등학교,24,서울특별시 강서구 방화대로50길 22,37.5769604177,126.8189340166
156,S010001056,서울정목초등학교,137,서울특별시 양천구 목동중앙로3길 30-10,37.5365297488,126.8700510053
157,S010001057,서울지향초등학교,108,서울특별시 양천구 신정로11길 74,37.5133162,126.8373891
158,S010001058,서울치현초등학교,79,서울특별시 강서구 방화대로47길 43,37.5759194191,126.8146438346
159,S010001059,서울탑산초등학교,85,서울특별시 강서구 허준로 109,37.567016739,126.852367467
160,S010001060,서울화곡초등학교,152,서울특별시 강서구 초록마을로 28,37.543669796,126.8464705934
161,S010001061,유석초등학교,60,서울특별시 강서구 화곡로69길 9,37.5608016256,126.8537786529
162,S010001197,동광초등학교,91,서울특별시 금천구 탑골로10길 45,37.451985,126.916713
163,S010001198,서울가산초등학교,52,서울특별시 금천구 남부순환로 1304-11,37.478125,126.896445
164,S010001199,서울개명초등학교,58,서울특별시 구로구 개봉로1다길 16-9,37.482999,126.850268
165,S010001200,서울개봉초등학교,176,서울특별시 구로구 개봉로16길 30-11,37.4895231088,126.8579747911
166,S010001201,서울개웅초등학교,90,서울특별시 구로구 개봉로11길 98,37.488572582,126.8499846408
167,S010001202,서울고산초등학교,62,서울특별시 구로구 중앙로 6,37.498973633,126.864773838
168,S010001203,서울고척초등학교,44,서울특별시 구로구 경서로 31,37.500946667,126.8569805744
169,S010001204,서울구로남초등학교,73,서울특별시 구로구 디지털로27길 76,37.4854394,126.890974
170,S010001205,서울구로초등학교,62,서울특별시 구로구 구로중앙로27나길 9,37.497058,126.886245
171,S010001206,서울구일초등학교,178,서울특별시 구로구 구일로 68,37.4931916033,126.8734732749
172,S010001207,서울금산초등학교,45,서울특별시 금천구 시흥대로24길 57,37.441305,126.907937
173,S010001208,서울금천초등학교,25,서울특별시 금천구 탑골로5길 60,37.454978,126.912769
174,S010001209,서울당산초등학교,55,서울특별시 영등포구 선유로55길 32,37.5401200198,126.896241292
175,S010001210,서울당서초등학교,217,서울특별시 영등포구 당산로 187,37.5320285188,126.899814084
176,S010001211,서울당중초등학교,105,서울특별시 영등포구 선유로 131,37.526186,126.890007
177,S010001212,서울대길초등학교,80,서울특별시 영등포구 대방천로 206,37.498204,126.913454
178,S010001213,서울대동초등학교,61,서울특별시 영등포구 대림로21길 6,37.493703679,126.9001185985
179,S010001214,서울대방초등학교,269,서울특별시 영등포구 여의대방로35길 14,37.5030997138,126.9194452013
180,S010001215,서울대영초등학교,176,서울특별시 영등포구 신길로23길 43,37.502647,126.905936
181,S010001216,서울덕의초등학교,158,서울특별시 구로구 고척로 213,37.5062766,126.8567988
182,S010001217,서울도림초등학교,64,서울특별시 영등포구 가마산로65길 22,37.508680497,126.9071155364
183,S010001218,서울도신초등학교,38,서울특별시 영등포구 도림로53길 32-9,37.4992687949,126.9007128171
184,S010001219,서울독산초등학교,88,서울특별시 금천구 시흥대로104길 31,37.465365,126.899965
185,S010001220,서울동구로초등학교,68,서울특별시 구로구 구로중앙로14길 43,37.4948704144,126.8927683269
186,S010001221,서울두산초등학교,101,서울특별시 금천구 범안로11길 3,37.4675482979,126.8909473748
187,S010001222,서울매봉초등학교,39,서울특별시 구로구 고척로21길 55,37.50479,126.844402
188,S010001223,서울문교초등학교,56,서울특별시 금천구 독산로54길 102,37.4665726,126.908881
189,S010001224,서울문래초등학교,180,서울특별시 영등포구 문래로 104,37.518471,126.893229
190,S010001225,서울문백초등학교,100,서울특별시 금천구 시흥대로47길 43-1,37.4470769893,126.89869793
191,S010001226,서울문성초등학교,39,서울특별시 금천구 시흥대로 460,37.4744862609,126.8992759455
192,S010001227,서울미래초등학교,110,서울특별시 구로구 새말로 73,37.5051068276,126.8880789065
193,S010001228,서울백산초등학교,39,서울특별시 금천구 시흥대로38길 78,37.447032,126.904917
194,S010001229,서울세곡초등학교,96,서울특별시 구로구 고척로33길 34,37.5050562821,126.849119269
195,S010001230,서울시흥초등학교,76,서울특별시 금천구 독산로23길 26,37.455338819,126.9046408024
